ingredient,grams,volume (cm^3),density (g/cm^3)
'00' Pizza Flour,116.0,236.58823649999994,0.4903033291767236
Agave syrup,84.0,59.147059124999984,1.4201889534774064
All-Purpose Baking Mix,120.0,236.58823649999994,0.5072103405276451
All-Purpose Flour,120.0,236.58823649999994,0.5072103405276451
Almond butter,68.0,59.147059124999984,1.1496767718626622
Almond Flour,96.0,236.58823649999994,0.40576827242211605
Almond meal,84.0,236.58823649999994,0.3550472383693516
Almond paste (packed),259.0,236.58823649999994,1.0947289849721673
Almonds (sliced),43.0,118.29411824999997,0.3635007440448123
Almonds (slivered),57.0,118.29411824999997,0.4818498235012628
"Almonds, whole (unblanched)",142.0,236.58823649999994,0.6001989029577134
Amaranth flour,103.0,236.58823649999994,0.4353555422862287
Apple juice concentrate,70.0,59.147059124999984,1.1834907945645052
"Apples (dried, diced)",85.0,236.58823649999994,0.3592739912070819
"Apples (peeled, sliced)",113.0,236.58823649999994,0.4776230706635325
Applesauce,255.0,236.58823649999994,1.0778219736212458
"Apricots (dried, diced)",64.0,118.29411824999997,0.5410243632294881
Artisan Bread Flour,120.0,236.58823649999994,0.5072103405276451
Artisan Bread Topping,43.0,59.147059124999984,0.7270014880896246
Baker's Cinnamon Filling,152.0,236.58823649999994,0.6424664313350171
Baker's Fruit Blend,128.0,236.58823649999994,0.5410243632294881
"Baker's Special Sugar (superfine sugar, castor sugar)",190.0,236.58823649999994,0.8030830391687714
Baking powder,4.0,4.928921593749998,0.8115365448442322
Baking soda,3.0,2.464460796874999,1.2173048172663483
Baking Sugar Alternative,170.0,236.58823649999994,0.7185479824141638
Bananas (mashed),227.0,236.58823649999994,0.9594728941647953
Barley (cooked),215.0,236.58823649999994,0.9087518601120308
Barley (pearled),213.0,236.58823649999994,0.90029835443657
Barley flakes,46.0,118.29411824999997,0.38886126107119456
Barley flour,85.0,236.58823649999994,0.3592739912070819
Barley malt syrup,42.0,29.573529562499992,1.4201889534774064
Basil pesto,28.0,29.573529562499992,0.9467926356516042
Bell peppers (fresh),142.0,236.58823649999994,0.6001989029577134
Berries (frozen),142.0,236.58823649999994,0.6001989029577134
Better Cheddar Cheese Powder,57.0,118.29411824999997,0.4818498235012628
Blueberries (dried),156.0,236.58823649999994,0.6593734426859387
Blueberries (fresh or frozen),155.0,236.58823649999994,0.6551466898482082
Blueberry juice,241.0,236.58823649999994,1.0186474338930205
Boiled cider,85.0,59.147059124999984,1.4370959648283277
Bran cereal,60.0,236.58823649999994,0.25360517026382257
Bread Flour,120.0,236.58823649999994,0.5072103405276451
Breadcrumbs (dried),28.0,59.147059124999984,0.4733963178258021
Breadcrumbs (fresh),21.0,59.147059124999984,0.3550472383693516
Breadcrumbs (Japanese Panko),50.0,236.58823649999994,0.2113376418865188
Brown rice (cooked),170.0,236.58823649999994,0.7185479824141638
Brown rice flour,128.0,236.58823649999994,0.5410243632294881
"Brown sugar (dark or light, packed)",213.0,236.58823649999994,0.90029835443657
Buckwheat (whole),170.0,236.58823649999994,0.7185479824141638
Buckwheat Flour,120.0,236.58823649999994,0.5072103405276451
Bulgur,152.0,236.58823649999994,0.6424664313350171
Butter,113.0,118.29411824999997,0.955246141327065
Buttermilk,227.0,236.58823649999994,0.9594728941647953
Buttermilk Biscuit Flour Blend,110.0,236.58823649999994,0.46494281215034133
Buttermilk powder,18.0,29.573529562499992,0.6086524086331742
Cacao nibs,120.0,236.58823649999994,0.5072103405276451
Cake Enhancer,14.0,29.573529562499992,0.4733963178258021
Candied Lemon Peel,37.0,59.147059124999984,0.6255594199840956
Candied Orange Peel,25.0,59.147059124999984,0.4226752837730376
"Caramel (14-16 individual pieces, 1"" squares)",142.0,118.29411824999997,1.2003978059154268
Caramel bits (chopped Heath or toffee),156.0,236.58823649999994,0.6593734426859387
Caraway seeds,18.0,29.573529562499992,0.6086524086331742
Carrots (cooked and pured),128.0,118.29411824999997,1.0820487264589762
Carrots (diced),142.0,236.58823649999994,0.6001989029577134
Carrots (grated),99.0,236.58823649999994,0.4184485309353072
Cashews (chopped),113.0,236.58823649999994,0.4776230706635325
Cashews (whole),113.0,236.58823649999994,0.4776230706635325
Celery (diced),142.0,236.58823649999994,0.6001989029577134
Cheese (Feta),57.0,118.29411824999997,0.4818498235012628
"Cheese (grated cheddar, jack, mozzarella, or Swiss)",113.0,236.58823649999994,0.4776230706635325
Cheese (grated Parmesan),50.0,118.29411824999997,0.4226752837730376
Cheese (Ricotta),227.0,236.58823649999994,0.9594728941647953
Cherries (candied),50.0,59.147059124999984,0.8453505675460752
Cherries (dried),71.0,118.29411824999997,0.6001989029577134
"Cherries (fresh, pitted, chopped)",80.0,118.29411824999997,0.6762804540368601
Cherries (frozen),113.0,236.58823649999994,0.4776230706635325
Cherry Concentrate,42.0,29.573529562499992,1.4201889534774064
Chia seeds,37.0,59.147059124999984,0.6255594199840956
Chickpea flour,85.0,236.58823649999994,0.3592739912070819
Chives (fresh),21.0,118.29411824999997,0.1775236191846758
Chocolate (chopped),170.0,236.58823649999994,0.7185479824141638
Chocolate Chips,170.0,236.58823649999994,0.7185479824141638
Chocolate Chunks,170.0,236.58823649999994,0.7185479824141638
Chocolate Mousse Mix,28.0,59.147059124999984,0.4733963178258021
Cinnamon Sweet Bits,35.0,59.147059124999984,0.5917453972822526
Cinnamon-Sugar,50.0,59.147059124999984,0.8453505675460752
Climate Blend Flour,115.0,236.58823649999994,0.4860765763389932
Cocoa (unsweetened),42.0,118.29411824999997,0.3550472383693516
"Coconut (sweetened, shredded)",85.0,236.58823649999994,0.3592739912070819
Coconut (toasted),85.0,236.58823649999994,0.3592739912070819
"Coconut (unsweetened, desiccated)",85.0,236.58823649999994,0.3592739912070819
"Coconut (unsweetened, large flakes)",60.0,236.58823649999994,0.25360517026382257
"Coconut (unsweetened, shredded)",53.0,236.58823649999994,0.22401790039970992
Coconut cream(unsweetened),284.0,236.58823649999994,1.2003978059154268
Coconut Flour,128.0,236.58823649999994,0.5410243632294881
Coconut milk(evaporated),242.0,236.58823649999994,1.022874186730751
Coconut Milk Powder,57.0,118.29411824999997,0.4818498235012628
"Coconut milk; canned, well shaken",241.0,236.58823649999994,1.0186474338930205
Coconut oil,113.0,118.29411824999997,0.955246141327065
Coconut sugar,77.0,118.29411824999997,0.6509199370104779
